Category,Question,Answer,Options
Pop Culture,What year did the first episode of "Game of Thrones" air?,2,"2009,2011,2013,2015"
Pop Culture,Who wrote the Harry Potter series?,2,"J.R.R. Tolkien,J.K. Rowling,George R.R. Martin,C.S. Lewis"
Pop Culture,What is the highest-grossing film of all time?,2,"Titanic,Avatar,Star Wars: The Force Awakens,Avengers: Endgame"
Pop Culture,Which singer is known as the "Queen of Pop"?,1,"Madonna,Lady Gaga,Britney Spears,Adele"
Pop Culture,What is the real name of the superhero Iron Man?,2,"Bruce Wayne,Tony Stark,Clark Kent,Peter Parker"
Literature,Who wrote "1984"?,1,"George Orwell,William Shakespeare,Ernest Hemingway,F. Scott Fitzgerald"
Literature,What is the longest epic poem in the world?,2,"Iliad, Mahabharata,Odyssey,Beowulf"
Literature,Who is the author of "Pride and Prejudice"?,3,"Charlotte Brontë,Jane Austen,Emily Brontë,Louisa May Alcott"
Literature,In which book does the character Holden Caulfield appear?,3,"To Kill a Mockingbird,The Great Gatsby,Catcher in the Rye,Lord of the Flies"
Literature,What novel is set in the fictional town of Maycomb Alabama?,1,"To Kill a Mockingbird,Gone with the Wind,The Grapes of Wrath,The Scarlet Letter"
Literature,Who wrote "The Divine Comedy"?,2,"Homer,Dante Alighieri,Geoffrey Chaucer,William Langland"
Literature,What is the name of Sherlock Holmes' brother?,3,"Mycroft Holmes,Sherlock Holmes Jr.,John Watson,Charles Holmes"
Literature,Who is the author of "Moby-Dick"?,4,"Charles Dickens,Herman Melville,Mark Twain,Edgar Allan Poe"
Literature,Which poet wrote "The Road Not Taken"?,1,"Robert Frost,Emily Dickinson,Walt Whitman,T.S. Eliot"
Literature,Who wrote "Brave New World"?,1,"Aldous Huxley,George Orwell,Ray Bradbury,Philip K. Dick"
Sports,In which year did the FIFA World Cup make its debut?,1,"1930,1934,1938,1950"
Sports,Who holds the record for the most Grand Slam singles titles in tennis (male)?,3,"Roger Federer,Rafael Nadal,Novak Djokovic,Pete Sampras"
Sports,Which country has won the most Olympic gold medals in the history of the Summer Games?,1,"United States,Soviet Union/Russia,China,Germany"
Sports,What is the official ball used in a game of basketball?,2,"Spalding,Wilson,Molten,Nike"
Sports,Who won the Formula 1 World Championship in the 2022 season?,2,"Lewis Hamilton,Max Verstappen,Valtteri Bottas,Sebastian Vettel"
Sports,In which city did the 2016 Summer Olympics take place?,1,"Rio de Janeiro,London,Tokyo,Beijing"
Sports,What is the name of the international governing body for soccer?,2,"FIFA,UEFA,NFL,NBA"
Sports,Which country hosted the 2018 Winter Olympics?,3,"Russia,Canada,South Korea,Japan"
Sports,Who is known as "The Great One" in hockey?,4,"Mario Lemieux,Wayne Gretzky,Sidney Crosby,Alexander Ovechkin"
Sports,What sport is known as "the sport of kings"?,1,"Horse racing,Tennis,Golf,Polo"
Art and Music,Who painted the Mona Lisa?,1,"Leonardo da Vinci,Michelangelo,Rembrandt,Van Gogh"
Art and Music,In which city is the Louvre Museum located?,2,"Rome,Paris,London,Berlin"
Art and Music,Who composed the Four Seasons?,1,"Antonio Vivaldi,Johann Sebastian Bach,Ludwig van Beethoven,Wolfgang Amadeus Mozart"
Art and Music,What is the art movement associated with Pablo Picasso?,3,"Impressionism,Expressionism,Cubism,Futurism"
Art and Music,Which instrument did Wolfgang Amadeus Mozart play?,1,"Piano,Violin,Guitar,Flute"
Art and Music,Who wrote the opera "Madame Butterfly"?,2,"Ludwig van Beethoven,Giacomo Puccini,Richard Wagner,Giuseppe Verdi"
Art and Music,What is the primary medium used in fresco painting?,2,"Oil,Plaster,Watercolor,Acrylic"
Art and Music,Who is known for the pop art movement?,4,"Claude Monet,Marcel Duchamp,Jackson Pollock,Andy Warhol"
Art and Music,What key is Beethoven's Symphony No. 5 in?,1,"C Minor,G Major,E Flat Major,B Flat Major"
Art and Music,Which artist is known for the painting "The Starry Night"?,4,"Pablo Picasso,Leonardo da Vinci,Rembrandt,Vincent van Gogh"
Food and Drink,What is the main ingredient in traditional sushi?,2,"Rice,Vinegar,Fish,Seaweed"
Food and Drink,Which country is Champagne exclusively from?,1,"France,Italy,Spain,Germany"
Food and Drink,What type of food is Parmigiano-Reggiano?,1,"Cheese,Bread,Pasta,Sauce"
Food and Drink,In which country did the Caesar salad originate?,2,"Italy,Mexico,United States,France"
Food and Drink,What is the cooking technique that involves submerging food in a liquid at a low temperature?,3,"Grilling,Frying,Sous-vide,Baking"
Food and Drink,What is traditionally the main ingredient in gazpacho?,4,"Cucumber,Pepper,Onion,Tomato"
Food and Drink,Which spice is known as the most expensive by weight?,3,"Saffron,Vanilla,Cardamom,Cinnamon"
Food and Drink,What is the primary grain used in bourbon production?,1,"Corn,Rye,Wheat,Barley"
Food and Drink,Which fruit is used to make traditional Italian limoncello?,1,"Lemon,Orange,Grape,Lime"
Food and Drink,What type of pastry is used to make croissants?,2,"Puff pastry,Laminated dough,Choux pastry,Shortcrust pastry"
General Knowledge,What is the capital of Japan?,1,"Tokyo,Beijing,Seoul,Bangkok"
General Knowledge,Which element has the chemical symbol 'O'?,2,"Hydrogen,Oxygen,Gold,Silver"
General Knowledge,Who wrote the play "Hamlet"?,3,"John Milton,Geoffrey Chaucer,William Shakespeare,Charles Dickens"
General Knowledge,What is the largest planet in our solar system?,1,"Jupiter,Saturn,Earth,Mars"
General Knowledge,Who is known as the father of modern physics?,4,"Isaac Newton,Galileo Galilei,Nikola Tesla,Albert Einstein"
General Knowledge,What year did the Berlin Wall fall?,4,"1987,1988,1989,1990"
General Knowledge,Which country gifted the Statue of Liberty to the United States?,2,"United Kingdom,France,Italy,Germany"
General Knowledge,What is the hardest natural substance on Earth?,1,"Diamond,Gold,Quartz,Ruby"
General Knowledge,Who invented the telephone?,3,"Thomas Edison,Nikola Tesla,Alexander Graham Bell,Marconi"
General Knowledge,What is the study of fungi called?,2,"Biology,Mycology,Botany,Zoology"
Video Games,What year was the original "Super Mario Bros" game released for the Nintendo Entertainment System?,1,"1985,1987,1990,1992"
Video Games,Which game is known for introducing the character Lara Croft?,2,"Doom,Tomb Raider,Resident Evil,Final Fantasy"
Video Games,What is the main objective in "Minecraft"?,4,"Winning races,Building armies,Completing missions,Building and exploring"
Video Games,Which video game franchise has a character named Link?,4,"Final Fantasy,Metal Gear,Selda,Zelda"
Video Games,What genre does the game "League of Legends" belong to?,1,"MOBA,FPS,RPG,Platformer"
Video Games,Who is the creator of the "Metal Gear" series?,2,"Shigeru Miyamoto,Hideo Kojima,Sid Meier,Todd Howard"
Video Games,In which game do players compete in the fictional Battle Royale on an island called Erangel?,3,"Call of Duty,Fortnite,PUBG,Apex Legends"
Video Games,What is the name of the virtual reality headset developed by Valve Corporation?,4,"Oculus Rift,HTC Vive,PlayStation VR,Valve Index"
Video Games,Which game features a post-apocalyptic open world with a character named Aloy?,1,"Horizon Zero Dawn,The Last of Us,Red Dead Redemption 2,Witcher 3"
Video Games,What year was the first "Pokémon" video game released?,2,"1994,1996,1998,2000"
